图片名称	文本描述	相似度	图片路径	Prompts文件
plate_clean_00035	empty, a plate with a matte, velvety texture, phot...	1.0000	datasets/synthetic/plate_clean_00035.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00040	empty, a plate with a honeycomb texture, photoreal...	1.0000	datasets/synthetic/plate_clean_00040.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00236	empty, a plate with a matte, velvety texture, phot...	1.0000	datasets/synthetic/plate_clean_00236.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00363	empty, a plate with a subtle, textured surface, ph...	1.0000	datasets/synthetic/plate_clean_00363.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00425	empty, a large, rustic stoneware serving plate, ph...	1.0000	datasets/synthetic/plate_clean_00425.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00179	empty, a square sushi plate made of bamboo, photor...	1.0000	datasets/synthetic/plate_clean_00179.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00130	empty, a round white ceramic dinner plate, photore...	1.0000	datasets/synthetic/plate_clean_00130.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00259	empty, an antique plate with a crackle glaze, phot...	1.0000	datasets/synthetic/plate_clean_00259.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00413	empty, a plate with a subtle, textured surface, ph...	1.0000	datasets/synthetic/plate_clean_00413.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00187	empty, a simple, elegant ivory-colored plate, phot...	1.0000	datasets/synthetic/plate_clean_00187.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00033	empty, a triangular-shaped appetizer plate, photor...	1.0000	datasets/synthetic/plate_clean_00033.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00215	empty, a square matte black slate platter, photore...	1.0000	datasets/synthetic/plate_clean_00215.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00305	empty, a high-gloss white porcelain plate, photore...	1.0000	datasets/synthetic/plate_clean_00305.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00057	empty, a porcelain plate with cherry blossom motif...	1.0000	datasets/synthetic/plate_clean_00057.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00260	empty, a heavy, durable melamine plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00260.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00073	empty, a plate with a turquoise crackle glaze, pho...	1.0000	datasets/synthetic/plate_clean_00073.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00377	empty, a high-gloss white porcelain plate, photore...	1.0000	datasets/synthetic/plate_clean_00377.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00265	empty, a blue and white checkered pattern plate, p...	1.0000	datasets/synthetic/plate_clean_00265.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00185	empty, a modern plate with bold geometric shapes, ...	1.0000	datasets/synthetic/plate_clean_00185.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00355	empty, a fine bone china plate with a translucent ...	1.0000	datasets/synthetic/plate_clean_00355.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00079	empty, a modern plate with bold geometric shapes, ...	1.0000	datasets/synthetic/plate_clean_00079.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00164	empty, a plate with a Japanese kintsugi repair, ph...	1.0000	datasets/synthetic/plate_clean_00164.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00449	empty, a textured linen-finish ceramic plate, phot...	1.0000	datasets/synthetic/plate_clean_00449.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00009	empty, a clear glass dessert plate, photorealistic...	1.0000	datasets/synthetic/plate_clean_00009.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00447	empty, a fine bone china plate with a translucent ...	1.0000	datasets/synthetic/plate_clean_00447.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00443	empty, a plate with a rustic, unglazed rim, photor...	1.0000	datasets/synthetic/plate_clean_00443.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00368	empty, a translucent bone china plate, photorealis...	1.0000	datasets/synthetic/plate_clean_00368.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00191	empty, a triangular-shaped appetizer plate, photor...	1.0000	datasets/synthetic/plate_clean_00191.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00066	empty, a square plate with rounded corners, photor...	1.0000	datasets/synthetic/plate_clean_00066.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00190	empty, a polished copper charger plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00190.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00112	empty, a plate with a reactive glaze finish, photo...	1.0000	datasets/synthetic/plate_clean_00112.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00177	empty, a plate with a soft, pastel gradient, photo...	1.0000	datasets/synthetic/plate_clean_00177.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00328	empty, a plate with a watercolor floral design, ph...	1.0000	datasets/synthetic/plate_clean_00328.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00028	empty, a minimalist grey ceramic side plate, photo...	1.0000	datasets/synthetic/plate_clean_00028.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00220	empty, a heavy, grooved stoneware plate, photoreal...	1.0000	datasets/synthetic/plate_clean_00220.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00345	empty, a square sushi plate made of bamboo, photor...	1.0000	datasets/synthetic/plate_clean_00345.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00039	empty, a porcelain plate with cherry blossom motif...	1.0000	datasets/synthetic/plate_clean_00039.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00221	empty, a plate with a subtle, textured surface, ph...	1.0000	datasets/synthetic/plate_clean_00221.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00320	empty, a plate with a Japanese-style wave motif, p...	1.0000	datasets/synthetic/plate_clean_00320.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00427	empty, a plate with a honeycomb texture, photoreal...	1.0000	datasets/synthetic/plate_clean_00427.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00143	empty, a speckled off-white stoneware plate, photo...	1.0000	datasets/synthetic/plate_clean_00143.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00108	empty, a porcelain plate with a gold rim, photorea...	1.0000	datasets/synthetic/plate_clean_00108.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00217	empty, a minimalist beige stoneware plate, photore...	1.0000	datasets/synthetic/plate_clean_00217.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00184	empty, a porcelain plate with a gold rim, photorea...	1.0000	datasets/synthetic/plate_clean_00184.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00361	empty, a square sushi plate made of bamboo, photor...	1.0000	datasets/synthetic/plate_clean_00361.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00245	empty, a plate with a rustic, unglazed rim, photor...	1.0000	datasets/synthetic/plate_clean_00245.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00239	empty, an octagonal-shaped plate, photorealistic, ...	1.0000	datasets/synthetic/plate_clean_00239.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00357	empty, a solid cobalt blue glass plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00357.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00228	empty, an earthenware plate with a terracotta fini...	1.0000	datasets/synthetic/plate_clean_00228.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00133	empty, a modern plate with bold geometric shapes, ...	1.0000	datasets/synthetic/plate_clean_00133.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00032	empty, a rough-textured earthenware plate, photore...	1.0000	datasets/synthetic/plate_clean_00032.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00171	empty, a plate with a subtle marble vein pattern, ...	1.0000	datasets/synthetic/plate_clean_00171.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00119	empty, an octagonal-shaped plate, photorealistic, ...	1.0000	datasets/synthetic/plate_clean_00119.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00402	empty, a plate with a Japanese-style wave motif, p...	1.0000	datasets/synthetic/plate_clean_00402.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00262	empty, a blue and white checkered pattern plate, p...	1.0000	datasets/synthetic/plate_clean_00262.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00102	empty, a round white ceramic dinner plate, photore...	1.0000	datasets/synthetic/plate_clean_00102.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00159	empty, a plate with a single, elegant monogram, ph...	1.0000	datasets/synthetic/plate_clean_00159.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00408	empty, a modern plate with bold geometric shapes, ...	1.0000	datasets/synthetic/plate_clean_00408.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00188	empty, a glossy red charger plate, photorealistic,...	1.0000	datasets/synthetic/plate_clean_00188.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00223	empty, a bright yellow plastic picnic plate, photo...	1.0000	datasets/synthetic/plate_clean_00223.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00196	empty, a plate with a shiny, mirror-like chrome fi...	1.0000	datasets/synthetic/plate_clean_00196.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00043	empty, a leaf-shaped ceramic serving dish, photore...	1.0000	datasets/synthetic/plate_clean_00043.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00004	empty, a blue and white checkered pattern plate, p...	1.0000	datasets/synthetic/plate_clean_00004.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00248	empty, a plate with a shiny, mirror-like chrome fi...	1.0000	datasets/synthetic/plate_clean_00248.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00430	empty, an octagonal-shaped plate, photorealistic, ...	1.0000	datasets/synthetic/plate_clean_00430.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00138	empty, a slate grey, rectangular serving plate, ph...	1.0000	datasets/synthetic/plate_clean_00138.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00439	empty, a simple, unadorned wooden plate, photoreal...	1.0000	datasets/synthetic/plate_clean_00439.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00222	empty, a minimalist plate with a single black line...	1.0000	datasets/synthetic/plate_clean_00222.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00389	empty, a plate with a reactive glaze finish, photo...	1.0000	datasets/synthetic/plate_clean_00389.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00136	empty, a solid cobalt blue glass plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00136.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00116	empty, a plate with an impression of a fossil, pho...	1.0000	datasets/synthetic/plate_clean_00116.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00337	empty, a blue and white checkered pattern plate, p...	1.0000	datasets/synthetic/plate_clean_00337.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00438	empty, a leaf-shaped ceramic serving dish, photore...	1.0000	datasets/synthetic/plate_clean_00438.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00157	empty, a plate with a hand-thrown, artisanal feel,...	1.0000	datasets/synthetic/plate_clean_00157.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00367	empty, a large, oval-shaped fish platter, photorea...	1.0000	datasets/synthetic/plate_clean_00367.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00323	empty, a flat, rimless serving platter, photoreali...	1.0000	datasets/synthetic/plate_clean_00323.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00311	empty, a plate with a hand-thrown, artisanal feel,...	1.0000	datasets/synthetic/plate_clean_00311.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00420	empty, a plate with an impression of a fossil, pho...	1.0000	datasets/synthetic/plate_clean_00420.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00365	empty, a plate with a subtle, textured surface, ph...	1.0000	datasets/synthetic/plate_clean_00365.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00097	empty, a simple, unadorned wooden plate, photoreal...	1.0000	datasets/synthetic/plate_clean_00097.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00295	empty, a high-gloss white porcelain plate, photore...	1.0000	datasets/synthetic/plate_clean_00295.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00436	empty, a heavy cast iron serving platter, photorea...	1.0000	datasets/synthetic/plate_clean_00436.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00137	empty, a plate with a playful cartoon character on...	1.0000	datasets/synthetic/plate_clean_00137.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00405	empty, a heavy, grooved stoneware plate, photoreal...	1.0000	datasets/synthetic/plate_clean_00405.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00366	empty, a plate with an abstract ink wash design, p...	1.0000	datasets/synthetic/plate_clean_00366.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00140	empty, a deep forest green ceramic plate, photorea...	1.0000	datasets/synthetic/plate_clean_00140.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00229	empty, a sky blue ceramic plate, photorealistic, t...	1.0000	datasets/synthetic/plate_clean_00229.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00141	empty, a metallic-finish decorative plate, photore...	1.0000	datasets/synthetic/plate_clean_00141.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00182	empty, a plate with a repeating fish scale pattern...	1.0000	datasets/synthetic/plate_clean_00182.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00256	empty, a translucent bone china plate, photorealis...	1.0000	datasets/synthetic/plate_clean_00256.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00300	empty, a plate with a reactive glaze finish, photo...	1.0000	datasets/synthetic/plate_clean_00300.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00359	empty, a minimalist plate with a single black line...	1.0000	datasets/synthetic/plate_clean_00359.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00360	empty, a plate with a detailed bird illustration, ...	1.0000	datasets/synthetic/plate_clean_00360.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00287	empty, a solid mustard yellow plate, photorealisti...	1.0000	datasets/synthetic/plate_clean_00287.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00050	empty, a metallic-finish decorative plate, photore...	1.0000	datasets/synthetic/plate_clean_00050.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00264	empty, a matte grey stoneware plate with a raised ...	1.0000	datasets/synthetic/plate_clean_00264.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00011	empty, a porcelain plate with cherry blossom motif...	1.0000	datasets/synthetic/plate_clean_00011.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00399	empty, a heavyweight, restaurant-quality white pla...	1.0000	datasets/synthetic/plate_clean_00399.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00197	empty, a square sushi plate made of bamboo, photor...	1.0000	datasets/synthetic/plate_clean_00197.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00142	empty, a plate with a Japanese kintsugi repair, ph...	1.0000	datasets/synthetic/plate_clean_00142.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00065	empty, a flat, rimless serving platter, photoreali...	1.0000	datasets/synthetic/plate_clean_00065.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00084	empty, a plate made from recycled glass, photoreal...	1.0000	datasets/synthetic/plate_clean_00084.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00024	empty, a heavy, durable melamine plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00024.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00346	empty, a charcoal-colored stone plate, photorealis...	1.0000	datasets/synthetic/plate_clean_00346.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00036	empty, a minimalist grey ceramic side plate, photo...	1.0000	datasets/synthetic/plate_clean_00036.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00216	empty, a plate with a single, elegant monogram, ph...	1.0000	datasets/synthetic/plate_clean_00216.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00317	empty, a plate with a turquoise crackle glaze, pho...	1.0000	datasets/synthetic/plate_clean_00317.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00380	empty, a plate with a soft, pastel gradient, photo...	1.0000	datasets/synthetic/plate_clean_00380.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00118	empty, a plate with a Japanese-style wave motif, p...	1.0000	datasets/synthetic/plate_clean_00118.png	output/plate/clean/plate_clean_prompts.txt
